id	filename	md5	size	state
bb1519f8-88d9-4cd2-b252-059734fd6938	TCGA-KM-A7QI-01Z-00-DX1.D5284A3E-891C-4750-BE93-C09C7F23C95C.svs	ad4ebe44023c2acc02bbccc151169191	1042206607	live
408f7eaf-11f6-4051-85c9-0aaf9776da3d	TCGA-R5-A7ZF-01Z-00-DX1.F08C5EC7-7292-4FD6-92FF-73192329C2B5.svs	271563b1d2e210de4d65129704aeae05	416489019	live
09782235-4340-4881-8f03-e6cb6ab890a3	TCGA-PL-A8LV-01A-02-DX2.346FF42B-2363-4B37-8884-12D5F841842C.svs	f78649dbc440487e3d4cfbee0bafbe73	244034918	live
ef342640-d7f1-408a-9ba7-d87b57ffb343	TCGA-KM-A7QJ-01Z-00-DX1.5011C41F-4385-4AB2-8AFE-5409125EDC31.svs	5e97de4b9011be009e13a4e8db8f2316	1206253383	live
3f8a25c4-f294-4c5c-a69d-4d17d0e88e72	TCGA-UW-A7GU-11Z-00-DX1.BC340CDF-7F82-4314-86BA-E003AE43389D.svs	fe81fbe95ffb8615a08521b355de7bd6	40098742	live
6983cd7b-f67e-4ae2-bb45-7baf6632562f	TCGA-UW-A7GU-01Z-00-DX1.30C1C11C-4113-4F8D-8372-5EE3DD33564D.svs	d4d37cc3564ce3a702c5a5adf1e1fbdd	720365928	live
478ad554-2536-4032-9964-72669a03fb0d	TCGA-R6-A8WG-01Z-00-DX1.7DFEC264-444A-456F-8EC5-61D82657F716.svs	b9dd58f50ac1d02e60bacf3d5a1a263e	408115685	live
d4a84b9f-c540-430d-a96e-4519bef3ae68	TCGA-SX-A71S-01Z-00-DX1.7E7ED612-4BB0-4599-9BBA-8E0F8F5C66D1.svs	3c7452c38cdf815bca30c52248bebf51	630742191	live
1e8c0ba6-a63b-4d09-a54a-e6455a028333	TCGA-UW-A7GJ-11Z-00-DX1.97F9F149-FA58-4535-AE9B-237B8F87DEC7.svs	038d0c4ce5f16f450be488354db42c96	1253194132	live
c29d08ed-a146-4779-bec0-5a7d57869065	TCGA-UW-A7GI-01Z-00-DX1.4A1709FC-F8F3-4509-A011-10CBF1B53DA9.svs	435a66f65a186eceaa4dd06f3a7d6bfd	1463222614	live
