id	filename	md5	size	state
a243936f-ae5f-4813-8c8a-1307c84ad205	6362c553-676b-4b2a-abbf-e78eae14b48d.FPKM-UQ.txt.gz	3438d9fa850b9dfc71d4d1edde161b70	511274	live
ebcaf4d5-5515-4ab0-b683-b21fb9f3d390	bd2b70a7-7a80-4ede-833e-ed6365552684.htseq.counts.gz	b3e29fdb822e63f8ac6e87cec1d128de	250856	live
195687f4-01b5-4509-b730-0870b7f76c81	nationwidechildrens.org_clinical.TCGA-P5-A5ET.xml	19ac164f474d69cfb2a952746726319e	30327	live
96734e7e-3430-4454-b40a-d6cfd38b06eb	4b6b2673-a70d-4b3e-b62f-df6ad4ddb144.FPKM-UQ.txt.gz	c036a740c3959d8ac635b89c3642ad54	527827	live
ed15534a-5e66-4584-8c05-7846b8a64abe	94bf70a6-761e-43c4-8b1a-3e524c31f636.FPKM-UQ.txt.gz	75d0379152e29945048dd5528596ab4b	496415	live
6ad757a7-9613-4f35-b251-b93b9a28155c	isoforms.quantification.txt	225c8cfad60c1399263d5a0b80b64dae	386204	live
684fc2a9-3310-4f53-be26-3ff6781d31fa	isoforms.quantification.txt	9557184667eeb16e76fa80b97e276092	378211	live
6e7f88af-c22e-4a25-89b4-81bba59b3d2f	mirnas.quantification.txt	83a5759754a7051c7c65e35047e80d86	50405	live
41c1c2fa-7583-416a-bc55-35cf773bb813	b90ebbf0-20cb-4a31-a09b-da452ad6d881.FPKM-UQ.txt.gz	934b0d62445b87733113dfd7825e77dd	539117	live
e758bae9-b5d0-4f5c-badb-a6f02cfc9c51	nationwidechildrens.org_clinical.TCGA-QR-A6H5.xml	b89e9f09d08deed2dd6e9d799c22b46c	14786	live
09a5f941-d62b-48f1-b111-2c39dc66602f	nationwidechildrens.org_clinical.TCGA-VS-A954.xml	3719a51a28d5bdc7cf4c50c1d51d847c	91763	live
32d7ade8-eb83-47e3-9173-c30a5246c0c6	isoforms.quantification.txt	5f0306eb15b7fe90bd36813efdc1ec98	405411	live
5bab436a-2460-41ce-925d-7e4237341c78	nationwidechildrens.org_clinical.TCGA-FF-8046.xml	ca1baf0b2dc806b2fbce94f4b4b0e89a	67808	live
9fa7fe5a-e703-4541-880d-8a9af8eda681	3b60d859-e094-457a-85d0-e99ed38d7edb.htseq.counts.gz	f04b10b9add3bc339a097e383d13d690	255152	live
ea90f338-10fe-4ac4-8198-c12d023bebca	isoforms.quantification.txt	d2d4ce599bbabd75d8bc19d159fd1cac	434850	live
d9d01a1b-17c5-4859-98fa-e4d41366c9a5	9fa303d7-d89d-4524-99fa-88999b042994.FPKM.txt.gz	b12f95bc482a17dcd473b94370c28864	514490	live
fa5c3eb1-726b-4d3d-a0a0-3cf927a337a6	abc09f7c-a791-4b91-9efa-b6d716811004.FPKM.txt.gz	75de689494a9f9c1b6e4b07c4f9c05a7	535042	live
c2f16fd6-7660-4b6a-8d65-436d06a283da	mirnas.quantification.txt	bd3e520f9421287722da8515ac0fda9c	50154	live
701dac3d-9356-45fa-8533-fd0da5c3c2d1	isoforms.quantification.txt	1a6f3a11a2b688d5edfa5ddefc660b5b	347794	live
bdf1b6ca-f3f9-42b0-8adf-0d9e8a45944f	10f2cac6-6c82-42fa-9916-4a3e370241ba.FPKM-UQ.txt.gz	1064fdba10d1cd899df7d64dffa75ecc	507321	live
0cf7a9ec-ba34-4664-a8f0-a1dd37b666ae	isoforms.quantification.txt	d6be7d031bcde58277b1bc6806649101	542687	live
bf4e88da-c99f-4ae0-8eb6-a1b8d4344eb5	76e26c2b-3318-4bcd-87df-4bcccdce9643.FPKM-UQ.txt.gz	34fa29b7e90b2e51db6a297f5d66f72c	564656	live
6c30e8d3-4ab7-45cc-b238-f25f34c389a7	e15a011d-bba3-4807-bf48-dfa912d018af.htseq.counts.gz	a126e62f8e7fda370693bb50474b1b50	261657	live
c4debfd9-7fa5-4fee-9d14-e3e0623b5bd8	c9ae87e5-f612-4283-9f8d-5e4bfcfc684c.FPKM-UQ.txt.gz	99cc2c3efd37d664524f377387ed1fed	515736	live
e6746f1d-4151-4049-9f41-fec5040d64fa	95b626ff-eb72-4539-b85b-2dea5a174fc2.FPKM-UQ.txt.gz	96dd28d98adceff0d8330e34ac310337	539649	live
18e79249-a331-463c-b5d6-916a812e0eb9	20dcf7d6-4ebb-4909-b5e1-263792f5748e.htseq.counts.gz	cdaced9bb1456fd51267f067803fcc12	255195	live
5e3deb50-64f9-4aa1-94b0-d67e399473ec	f8f9da4d-0d27-4f93-894d-a93b9968ac0e.htseq.counts.gz	8021c0f74a6328654838b534a2271548	251539	live
e6ce1291-17b1-4c69-ba09-7f5968a9896f	796f5e71-59e1-40cd-96c5-a760827d4ffd.FPKM-UQ.txt.gz	7b303ed65f7e0c50c01da79cb98d08b6	503457	live
6081bf48-1627-4329-a88d-5b07288f0d76	eb70ccf2-f854-4d99-92a3-f02ba2b3c770.FPKM.txt.gz	890ecb2c90f6852be44dc08b8a4e2789	513726	live
25814e5f-2768-455d-a639-bb82a64d368e	nationwidechildrens.org_clinical.TCGA-EL-A3CN.xml	0d2ab4a0a6a3cec421bbb2e7d98b1107	51781	live
